iter	RMSE
289	0.3214636369
290	0.3214361622
291	0.3214191194
292	0.321383719
293	0.321363119
294	0.3213465828
295	0.3213159934
296	0.3212911452
297	0.3212650033
298	0.3212388152
299	0.3211981921
300	0.3211740566
301	0.3211587772
302	0.3211436686
303	0.3211047743
304	0.3210666271
305	0.3210364062
306	0.3210190802
307	0.3209821506
308	0.3209460221
309	0.3209216541
310	0.3208926858
311	0.3208512167
312	0.32082369
313	0.3208040999
314	0.3207812102
315	0.3207596678
316	0.3207299926
317	0.3207157066
318	0.3206954668
319	0.3206759109
320	0.3206581296
321	0.3206285598
322	0.3206018036
323	0.3205734037
324	0.3205400823
325	0.3205001318
326	0.3204677425
327	0.3204332595
328	0.3203858024
329	0.3203537069
330	0.3203285248
331	0.320305538
332	0.3202746733
333	0.3202594357
334	0.3202277191
335	0.3201977367
336	0.3201660529
337	0.3201294882
338	0.3201034658
339	0.3200871705
340	0.3200597008
341	0.3200138529
342	0.319986762
343	0.3199614505
344	0.3199375074
345	0.3199148306
346	0.3198996805
347	0.3198788694
348	0.3198325119
349	0.3197952025
350	0.3197642046
351	0.3197405035
352	0.3196929343
353	0.3196510834
354	0.3196297505
355	0.3196015141
356	0.3195791371
357	0.3195470502
358	0.3195108155
359	0.3194812063
360	0.3194392116
361	0.3194140237
362	0.3193795358
363	0.3193564125
364	0.3193242909
365	0.3192983108
366	0.3192736005
367	0.3192529574
368	0.3192234612
369	0.319200421
370	0.319159778
371	0.3191330713
372	0.3190975819
373	0.3190780906
374	0.3190477916
375	0.3190296315
376	0.319016559
377	0.3189882963
378	0.3189662665
379	0.3189607484
380	0.3189293416
381	0.3188961232
382	0.318871853
383	0.3188404383
384	0.3188228826
385	0.3188006149
386	0.3187773183
387	0.3187571707
388	0.3187117871
389	0.3186924451
390	0.3186579033
391	0.3186260445
392	0.3185998945
393	0.3185857782
394	0.3185482423
395	0.3185113396
396	0.3184794977
397	0.3184530909
398	0.3184220254
399	0.3184038986
400	0.3183767842
401	0.3183344349
402	0.3183021838
403	0.3182819253
404	0.3182617886
405	0.3182454086
406	0.3182157319
407	0.3181856378
408	0.3181627667
409	0.3181425736
410	0.3181084917
411	0.3180698164
412	0.3180519387
413	0.3180235336
414	0.3179948879
415	0.3179679087
416	0.3179383942
417	0.3179174017
418	0.3178945434
419	0.3178693605
420	0.317851752
421	0.3178312796
422	0.3177993422
423	0.3177676532
424	0.3177472886
425	0.3177338483
426	0.317703955
427	0.3176716781
428	0.3176570142
429	0.3176238935
430	0.3175924146
431	0.3175639074
432	0.3175297281
433	0.317503127
434	0.317478823
435	0.3174484228
436	0.3174199304
437	0.3173769995
438	0.3173414698
439	0.3173259534
440	0.3173046331
441	0.3172840589
442	0.3172581798
443	0.3172340511
444	0.3172123315
445	0.3171794868
446	0.3171564556
447	0.3171279289
448	0.3171016331
449	0.3170695
