iter	RMSE
0	0.3569618414
1	0.3550235534
2	0.3533919867
3	0.3517221121
4	0.3501872563
5	0.3489017831
6	0.3476470341
7	0.3464660601
8	0.345400112
9	0.3444388508
10	0.3435879854
11	0.3428273675
12	0.3421296179
13	0.3414834643
14	0.3408295954
15	0.3402278532
16	0.3397105384
17	0.3391248877
18	0.3386313321
19	0.3381593076
20	0.3377822241
21	0.3373436541
22	0.3369391124
23	0.3365949728
24	0.3362316716
25	0.3358993013
26	0.3356027588
27	0.3353041888
28	0.335041727
29	0.334799609
30	0.3346044327
31	0.3343904694
32	0.3341778377
33	0.3339531957
34	0.3337759992
35	0.333623336
36	0.3334108573
37	0.3332185031
38	0.3330442293
39	0.3328413602
40	0.3326940256
41	0.3325417594
42	0.3323981789
43	0.3322440531
44	0.3321084159
45	0.3319740743
46	0.3318691331
47	0.331733064
48	0.331609384
49	0.3314830067
50	0.3313755754
51	0.3312410171
52	0.3311224156
53	0.3310009188
54	0.33089945
55	0.3307901383
56	0.3306911181
57	0.3306160657
58	0.3305048331
59	0.3304152062
60	0.3303201846
61	0.3302117475
62	0.3301163124
63	0.3300498345
64	0.3299440886
65	0.3298555382
66	0.3297884446
67	0.3297083974
68	0.3296003444
69	0.3295198269
70	0.32947067
71	0.3293741822
72	0.3293046312
73	0.3292324705
74	0.3291435578
75	0.3290866004
76	0.329003489
77	0.3289406726
78	0.3288919218
79	0.3288196143
80	0.3287563937
81	0.3286925591
82	0.3286461962
83	0.3285876914
84	0.3285172252
85	0.3284641349
86	0.3284060361
87	0.3283313202
88	0.3282748379
89	0.3282087203
90	0.3281616505
91	0.3281025265
92	0.3280577617
93	0.3280037426
94	0.3279585523
95	0.3278979363
96	0.3278442486
97	0.3277883841
98	0.3277403715
99	0.3276902211
100	0.3276512885
101	0.3276062879
102	0.3275686028
103	0.3275151743
104	0.3274782631
105	0.3274425867
106	0.327405626
107	0.3273528481
108	0.3273109141
109	0.3272667748
110	0.3272152976
111	0.3271653201
112	0.3271354029
113	0.3271007591
114	0.3270580155
115	0.3270192825
116	0.3269800972
117	0.3269323658
118	0.3268814973
119	0.3268383686
120	0.326786737
121	0.3267588732
122	0.326707898
123	0.3266812197
124	0.3266297375
125	0.3265821093
126	0.3265586821
127	0.3265268396
128	0.3264987187
129	0.3264601034
130	0.3264287901
131	0.3263879846
132	0.3263576088
133	0.3263321323
134	0.32630345
135	0.3262637574
136	0.3262198861
137	0.3261864421
138	0.3261554191
139	0.326137457
140	0.3261048392
141	0.3260796886
142	0.326042954
143	0.3260215212
144	0.3259951855
145	0.3259662307
146	0.3259470511
147	0.3259130015
148	0.3258760066
149	0.3258464357
150	0.3258200119
151	0.3257832849
152	0.3257599992
153	0.3257290939
154	0.3256962091
155	0.325674549
156	0.3256308956
157	0.3256015286
158	0.3255816275
159	0.3255434165
160	0.3255229782
161	0.3254661339
162	0.3254270757
163	0.3253873498
164	0.3253608595
165	0.3253339441
166	0.3253083962
167	0.3252744136
168	0.3252523191
169	0.3252266997
170	0.3251911149
171	0.3251636522
172	0.3251399143
173	0.3251144777
174	0.3250754021
175	0.3250525689
176	0.325026674
177	0.3249843962
178	0.3249548843
179	0.3249182445
180	0.3248899399
181	0.3248659498
182	0.3248246471
183	0.3248019205
184	0.3247733745
185	0.324742524
186	0.3247120031
187	0.32466418
188	0.3246415499
189	0.3246078285
190	0.3245721845
191	0.3245457765
192	0.324527021
193	0.3244862517
194	0.324459347
195	0.3244299791
196	0.3243913505
197	0.3243645294
198	0.324329224
199	0.324294872
200	0.324270774
201	0.3242240421
202	0.3241954162
203	0.3241541332
204	0.3241385241
205	0.3241146377
206	0.3240730219
207	0.3240334322
208	0.3239930141
209	0.3239655392
210	0.3239326738
211	0.3239089455
212	0.3238935135
213	0.323872214
214	0.3238385902
215	0.3237890595
216	0.3237667072
217	0.3237299708
218	0.3237041085
219	0.323663167
220	0.3236174359
221	0.3235711501
222	0.3235455036
223	0.3235084183
224	0.3234787602
225	0.3234479785
226	0.3234175975
227	0.3233795536
228	0.3233544123
229	0.3233203041
230	0.3232869392
231	0.3232609828
232	0.3232175036
233	0.3231721904
234	0.3231475045
235	0.3231055972
236	0.3230648081
237	0.3230344809
238	0.3229979628
239	0.3229737469
240	0.322937807
241	0.3229049007
242	0.3228769776
243	0.3228549635
244	0.3228231919
245	0.3227953288
246	0.3227552882
247	0.3227258477
248	0.3226988114
249	0.3226813567
250	0.3226452189
251	0.3226134304
252	0.3225824573
253	0.3225395389
254	0.3225120089
255	0.3224708558
256	0.322438182
257	0.3224115997
258	0.3223758078
259	0.3223365492
260	0.3223000318
261	0.3222673863
262	0.3222400136
263	0.3222046756
264	0.3221513942
265	0.3221305458
266	0.322100871
267	0.3220742684
268	0.3220476284
269	0.3220179177
270	0.3219803463
271	0.3219475315
272	0.3219130193
273	0.3218815612
274	0.3218542322
275	0.3218270984
276	0.3218074799
277	0.3217768646
278	0.3217377002
279	0.3217152685
280	0.3216924883
281	0.3216598079
282	0.3216270931
283	0.3216082081
284	0.3215792703
285	0.3215550946
286	0.3215291811
287	0.3215115037
288	0.3214792457
